Sygnatura czasowa;Polityka RODO: ;Jestem: ;Sta¿ pracy: ;Szko³a:;Co jest prawd¹ o emocjach?;Z psychologicznego punktu widzenia emocje:;Co mo¿e pomóc w KONSTRUKTYWNYM ukojeniu nieprzyjemnych emocji? ;Jak wykonuje siê poprawny oddech przeponowy?;Co jest sposobem na zmniejszenie podatnoœci na odczuwanie nieprzyjemnych stanów emocjonalnych?
4.7.2025 15:14:59;Akceptujê;pedagogiem;16-20 lat;Zespó³ Szkó³ Budowlano-Technicznych w Stargardzie;Obie odpowiedzi s¹ poprawne.;s¹ normalne i potrzebne, poniewa¿ realizuj¹ szereg wa¿nych funkcji.;Przyjêcie odpowiedniej postawy cia³a lub wykonanie prostych ruchów.;Wdech odbywa siê przez nos, a wydech – przez usta.;¯adna z powy¿szych.
4.7.2025 15:15:05;Akceptujê;nauczycielem;16-20 lat;Zespó³ Szkó³ Budowlano-Technicznych w Stargardzie;Obie odpowiedzi s¹ poprawne.;s¹ normalne i potrzebne, poniewa¿ realizuj¹ szereg wa¿nych funkcji.;Przyjêcie odpowiedniej postawy cia³a lub wykonanie prostych ruchów.;Wdech odbywa siê przez nos, a wydech – przez usta.;Codzienna troska o fizycznoœæ, opieraj¹ca siê na trzech g³ównych filarach: w³aœciwej diecie, odpowiedniej iloœci snu i ruchu.
4.7.2025 15:15:22;Akceptujê;nauczycielem;21 lat i wiêcej;Zespó³ Szkó³ Budowlano-Technicznych w Stargardzie;Obie odpowiedzi s¹ poprawne.;s¹ normalne i potrzebne, poniewa¿ realizuj¹ szereg wa¿nych funkcji.;Przyjêcie odpowiedniej postawy cia³a lub wykonanie prostych ruchów.;Wdech odbywa siê przez nos, a wydech – przez usta.;Codzienna troska o fizycznoœæ, opieraj¹ca siê na trzech g³ównych filarach: w³aœciwej diecie, odpowiedniej iloœci snu i ruchu.
4.7.2025 15:15:27;Akceptujê;nauczycielem;21 lat i wiêcej;Zespó³ Szkó³ Budowlano-Technicznych w Stargardzie;Uruchamiaj¹ ca³y zespó³ zmian w ciele, w sposobie myœlenia i zachowaniu cz³owieka.;mo¿na podzieliæ na dobre (pozytywne) i z³e (negatywne).;Zjedzenie czegoœ s³odkiego.;Wdech odbywa siê przez nos, a wydech – przez usta.;Optymistyczne nastawienie do codziennoœci i koncentrowanie siê na pozytywnych aspektach w³asnego ¿ycia.
4.7.2025 15:15:40;Akceptujê;nauczycielem;21 lat i wiêcej;Zespó³ Szkó³ Budowlano-Technicznych w Stargardzie;To reakcje, które pojawiaj¹ siê w odpowiedzi na subiektywnie wa¿n¹ dla danej osoby sytuacjê.;mo¿na podzieliæ na dobre (pozytywne) i z³e (negatywne).;Przyjêcie odpowiedniej postawy cia³a lub wykonanie prostych ruchów.;Wdech odbywa siê przez nos, a wydech – przez usta.;Codzienna troska o fizycznoœæ, opieraj¹ca siê na trzech g³ównych filarach: w³aœciwej diecie, odpowiedniej iloœci snu i ruchu.
4.7.2025 15:15:57;Akceptujê;nauczycielem;21 lat i wiêcej;Zespó³ Szkó³ Budowlano-Technicznych w Stargardzie;To reakcje, które pojawiaj¹ siê w odpowiedzi na subiektywnie wa¿n¹ dla danej osoby sytuacjê.;mo¿na podzieliæ na dobre (pozytywne) i z³e (negatywne).;Przyjêcie odpowiedniej postawy cia³a lub wykonanie prostych ruchów.;Wdech odbywa siê przez nos, a wydech – przez usta.;Optymistyczne nastawienie do codziennoœci i koncentrowanie siê na pozytywnych aspektach w³asnego ¿ycia.
4.7.2025 15:16:10;Akceptujê;nauczycielem;21 lat i wiêcej;Zespó³ Szkó³ Budowlano-Technicznych w Stargardzie;Obie odpowiedzi s¹ poprawne.;s¹ normalne i potrzebne, poniewa¿ realizuj¹ szereg wa¿nych funkcji.;Przyjêcie odpowiedniej postawy cia³a lub wykonanie prostych ruchów.;Wdech odbywa siê przez nos, a wydech – przez usta.;¯adna z powy¿szych.
4.7.2025 15:16:13;Akceptujê;nauczycielem;6-10 lat;Zespó³ Szkó³ Budowlano-Technicznych w Stargardzie;Uruchamiaj¹ ca³y zespó³ zmian w ciele, w sposobie myœlenia i zachowaniu cz³owieka.;s¹ normalne i potrzebne, poniewa¿ realizuj¹ szereg wa¿nych funkcji.;Przyjêcie odpowiedniej postawy cia³a lub wykonanie prostych ruchów.;Wdech odbywa siê przez nos, a wydech – przez usta.;Codzienna troska o fizycznoœæ, opieraj¹ca siê na trzech g³ównych filarach: w³aœciwej diecie, odpowiedniej iloœci snu i ruchu.
4.7.2025 15:16:18;Akceptujê;nauczycielem;21 lat i wiêcej;Zespó³ Szkó³ Budowlano-Technicznych w Stargardzie;Obie odpowiedzi s¹ poprawne.;mo¿na podzieliæ na dobre (pozytywne) i z³e (negatywne).;Przyjêcie odpowiedniej postawy cia³a lub wykonanie prostych ruchów.;Wdech odbywa siê przez nos, a wydech – przez usta.;Optymistyczne nastawienie do codziennoœci i koncentrowanie siê na pozytywnych aspektach w³asnego ¿ycia.
4.7.2025 15:16:19;Akceptujê;nauczycielem;21 lat i wiêcej;Zespó³ Szkó³ Budowlano-Technicznych w Stargardzie;Obie odpowiedzi s¹ poprawne.;mo¿na podzieliæ na dobre (pozytywne) i z³e (negatywne).;Przyjêcie odpowiedniej postawy cia³a lub wykonanie prostych ruchów.;Wdech odbywa siê przez nos, a wydech – przez usta.;Codzienna troska o fizycznoœæ, opieraj¹ca siê na trzech g³ównych filarach: w³aœciwej diecie, odpowiedniej iloœci snu i ruchu.
4.7.2025 15:16:24;Akceptujê;psychologiem;11-15 lat;Zespó³ Szkó³ Budowlano-Technicznych w Stargardzie;Obie odpowiedzi s¹ poprawne.;s¹ normalne i potrzebne, poniewa¿ realizuj¹ szereg wa¿nych funkcji.;Przyjêcie odpowiedniej postawy cia³a lub wykonanie prostych ruchów.;Wdech odbywa siê przez nos, a wydech – przez usta.;Codzienna troska o fizycznoœæ, opieraj¹ca siê na trzech g³ównych filarach: w³aœciwej diecie, odpowiedniej iloœci snu i ruchu.
4.7.2025 15:16:32;Akceptujê;nauczycielem;1-5 lat;Zespó³ Szkó³ Budowlano-Technicznych w Stargardzie;To reakcje, które pojawiaj¹ siê w odpowiedzi na subiektywnie wa¿n¹ dla danej osoby sytuacjê.;s¹ normalne i potrzebne, poniewa¿ realizuj¹ szereg wa¿nych funkcji.;Nie wiem;Nie wiem;Optymistyczne nastawienie do codziennoœci i koncentrowanie siê na pozytywnych aspektach w³asnego ¿ycia.
4.7.2025 15:16:45;Akceptujê;Doradca zawodowy;1-5 lat;Zespó³ Szkó³ Budowlano-Technicznych w Stargardzie;Obie odpowiedzi s¹ poprawne.;s¹ normalne i potrzebne, poniewa¿ realizuj¹ szereg wa¿nych funkcji.;Przyjêcie odpowiedniej postawy cia³a lub wykonanie prostych ruchów.;Wdech odbywa siê przez nos, a wydech – przez usta.;Optymistyczne nastawienie do codziennoœci i koncentrowanie siê na pozytywnych aspektach w³asnego ¿ycia.
4.7.2025 15:17:10;Akceptujê;pedagogiem;21 lat i wiêcej;Zespó³ Szkó³ Budowlano-Technicznych w Stargardzie;Obie odpowiedzi s¹ poprawne.;s¹ normalne i potrzebne, poniewa¿ realizuj¹ szereg wa¿nych funkcji.;Przyjêcie odpowiedniej postawy cia³a lub wykonanie prostych ruchów.;Wdech odbywa siê przez nos, a wydech – przez usta.;Codzienna troska o fizycznoœæ, opieraj¹ca siê na trzech g³ównych filarach: w³aœciwej diecie, odpowiedniej iloœci snu i ruchu.
4.7.2025 15:17:21;Akceptujê;nauczycielem;21 lat i wiêcej;Zespó³ Szkó³ Budowlano-Technicznych w Stargardzie;Obie odpowiedzi s¹ poprawne.;mo¿na podzieliæ na dobre (pozytywne) i z³e (negatywne).;Przyjêcie odpowiedniej postawy cia³a lub wykonanie prostych ruchów.;Wdech odbywa siê przez nos, a wydech – przez usta.;Codzienna troska o fizycznoœæ, opieraj¹ca siê na trzech g³ównych filarach: w³aœciwej diecie, odpowiedniej iloœci snu i ruchu.
4.7.2025 15:18:40;Akceptujê;nauczycielem;21 lat i wiêcej;Zespó³ Szkó³ Budowlano-Technicznych w Stargardzie;To reakcje, które pojawiaj¹ siê w odpowiedzi na subiektywnie wa¿n¹ dla danej osoby sytuacjê.;mo¿na podzieliæ na dobre (pozytywne) i z³e (negatywne).;Przyjêcie odpowiedniej postawy cia³a lub wykonanie prostych ruchów.;Wdech odbywa siê przez nos, a wydech – przez usta.;Optymistyczne nastawienie do codziennoœci i koncentrowanie siê na pozytywnych aspektach w³asnego ¿ycia.
4.7.2025 15:22:33;Akceptujê;nauczycielem;21 lat i wiêcej;Zespó³ Szkó³ Budowlano-Technicznych w Stargardzie;Obie odpowiedzi s¹ poprawne.;s¹ normalne i potrzebne, poniewa¿ realizuj¹ szereg wa¿nych funkcji.;Przyjêcie odpowiedniej postawy cia³a lub wykonanie prostych ruchów.;Wdech odbywa siê przez nos, a wydech – przez usta.;Codzienna troska o fizycznoœæ, opieraj¹ca siê na trzech g³ównych filarach: w³aœciwej diecie, odpowiedniej iloœci snu i ruchu.
4.7.2025 15:23:28;Akceptujê;nauczycielem;21 lat i wiêcej;Zespó³ Szkó³ Budowlano-Technicznych w Stargardzie;Obie odpowiedzi s¹ poprawne.;s¹ normalne i potrzebne, poniewa¿ realizuj¹ szereg wa¿nych funkcji.;Przyjêcie odpowiedniej postawy cia³a lub wykonanie prostych ruchów.;Wdech odbywa siê przez nos, a wydech – przez usta.;Optymistyczne nastawienie do codziennoœci i koncentrowanie siê na pozytywnych aspektach w³asnego ¿ycia.
4.7.2025 16:22:11;Akceptujê;terapeuta pedagogiczny ;11-15 lat;Zespó³ Szkó³ Budowlano-Technicznych w Stargardzie;Obie odpowiedzi s¹ poprawne.;s¹ normalne i potrzebne, poniewa¿ realizuj¹ szereg wa¿nych funkcji.;Przyjêcie odpowiedniej postawy cia³a lub wykonanie prostych ruchów.;Wdech odbywa siê przez nos, a wydech – przez usta.;Codzienna troska o fizycznoœæ, opieraj¹ca siê na trzech g³ównych filarach: w³aœciwej diecie, odpowiedniej iloœci snu i ruchu.
4.24.2025 15:12:01;Akceptujê;nauczycielem;1-5 lat;Zespó³ Szkó³ Ogólnokszta³c¹cych nr 18 w Krakowie;Obie odpowiedzi s¹ poprawne.;s¹ normalne i potrzebne, poniewa¿ realizuj¹ szereg wa¿nych funkcji.;Przyjêcie odpowiedniej postawy cia³a lub wykonanie prostych ruchów.;Wdech odbywa siê przez nos, a wydech – przez usta.;Codzienna troska o fizycznoœæ, opieraj¹ca siê na trzech g³ównych filarach: w³aœciwej diecie, odpowiedniej iloœci snu i ruchu.
